2017-04-21 08:50:25.167 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 4/20/2017.
2017-04-21 08:50:25.427 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'ASIA-PACIFIC\Sebastian_W' to group 'Performance Monitor Users' because the user is already in group.
2017-04-21 08:50:25.472 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 08:50:25.476 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 08:50:25.478 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 08:50:25.595 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 08:50:39.257 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = 71d4d6ac-b303-4e99-a9f9-7636493fdb0f
2017-04-21 08:50:39.422 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 08:50:42.567 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = 8f8373b8-da40-401c-b0ff-6fab50a83215
2017-04-21 08:50:42.597 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 08:50:51.135 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = 3f3213f0-a22e-40cd-b116-4adf9f5e5373
2017-04-21 08:50:51.165 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 08:50:52.232 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-04-21 08:50:52.263 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-04-21 09:18:51.564 INFO  DefaultFactory Logging to 'C:\Sebastian\Project\intro-to-nservicebus-3-multiple-endpoints\ClientUI\bin\Debug\' with level Info
2017-04-21 09:18:52.051 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 4/20/2017.
2017-04-21 09:18:53.072 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'ASIA-PACIFIC\Sebastian_W' to group 'Performance Monitor Users' because the user is already in group.
2017-04-21 09:18:53.127 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:18:53.129 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:18:53.131 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:18:53.206 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:18:56.172 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = f7b03119-ffcf-4e36-9f90-81a681d1a42e
2017-04-21 09:18:56.350 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:19:08.723 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = 3d624639-65a5-4f43-887c-8885de2f1301
2017-04-21 09:19:08.755 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:19:09.516 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = a329b6b0-1e00-4e19-a45b-bf1ad1ec5278
2017-04-21 09:19:09.547 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:19:09.867 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = 7dfc2033-3fe8-47b0-9b89-5e7ec4767eb4
2017-04-21 09:19:09.876 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:19:10.083 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = 30bc6821-18bd-4bff-9895-066841f48e9e
2017-04-21 09:19:10.116 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:19:10.267 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = b454e24c-1af3-40da-acb2-a0f4bc6cbe95
2017-04-21 09:19:10.299 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:19:10.459 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = 653e55da-b5a0-42e3-b291-3fdee7668535
2017-04-21 09:19:10.493 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:19:10.642 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = 2961d90b-7ae8-4f0e-95b4-b2505a8c0484
2017-04-21 09:19:10.675 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:19:10.851 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = 19079c07-c2e9-4f45-8fa7-ef18a8fa7767
2017-04-21 09:19:10.883 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:19:11.019 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = 45adfabe-df01-4d2f-8922-3d50dcab24b3
2017-04-21 09:19:11.052 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:20:08.852 INFO  DefaultFactory Logging to 'C:\Sebastian\Project\intro-to-nservicebus-3-multiple-endpoints\ClientUI\bin\Debug\' with level Info
2017-04-21 09:20:09.773 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 4/20/2017.
2017-04-21 09:20:10.266 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'ASIA-PACIFIC\Sebastian_W' to group 'Performance Monitor Users' because the user is already in group.
2017-04-21 09:20:10.318 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:20:10.320 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:20:10.323 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:20:10.424 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:20:18.172 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = 2620b6ce-b2f0-4f91-97f6-1170b1351917
2017-04-21 09:20:18.341 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:40:01.200 INFO  DefaultFactory Logging to 'C:\Sebastian\Project\intro-to-nservicebus-3-multiple-endpoints\ClientUI\bin\Debug\' with level Info
2017-04-21 09:40:01.752 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 4/20/2017.
2017-04-21 09:40:03.006 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'ASIA-PACIFIC\Sebastian_W' to group 'Performance Monitor Users' because the user is already in group.
2017-04-21 09:40:03.070 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:40:03.073 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:40:03.076 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:40:03.238 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:40:06.400 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = a7f77c5b-a88d-4534-a2ef-0a6e87cf232c
2017-04-21 09:40:06.559 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:40:16.313 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-04-21 09:40:16.397 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-04-21 09:41:19.150 INFO  DefaultFactory Logging to 'C:\Sebastian\Project\intro-to-nservicebus-3-multiple-endpoints\ClientUI\bin\Debug\' with level Info
2017-04-21 09:41:20.059 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 4/20/2017.
2017-04-21 09:41:20.538 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'ASIA-PACIFIC\Sebastian_W' to group 'Performance Monitor Users' because the user is already in group.
2017-04-21 09:41:20.599 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:41:20.612 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:41:20.616 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:41:20.732 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:43:33.481 INFO  DefaultFactory Logging to 'C:\Sebastian\Project\intro-to-nservicebus-3-multiple-endpoints\ClientUI\bin\Debug\' with level Info
2017-04-21 09:43:33.997 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 4/20/2017.
2017-04-21 09:43:35.211 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'ASIA-PACIFIC\Sebastian_W' to group 'Performance Monitor Users' because the user is already in group.
2017-04-21 09:43:35.331 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:43:35.334 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:43:35.338 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:43:35.753 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:43:56.155 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = fcba4a02-0cce-4614-b41d-52add47e8aec
